Name
CRYPTOCOCCUS NEOFORMANS NCCLS
CRYPTOCOCCUS SPP
CUTIBACTERIUM ACNES
EGGERTHELLA LENTA
EIKENELLA CORRODENS
ENTEROBACTER AGGLOMERANS
ENTEROBACTER AMNIGENUS
ENTEROBACTER ASBURIAE
ENTEROBACTER CANCEROGENUS
ENTEROBACTER CLOACAE
ENTEROBACTER DISSOLVENS
ENTEROBACTER GERGOVIAE
ENTEROBACTER HORMAECHEI
ENTEROBACTER INTERMEDIUM
ENTEROBACTER KOBEI
ENTEROBACTER LUDWIGII
ENTEROBACTER SAKAZAKII
ENTEROBACTER TAYLORAE
ENTEROCOCCUS AVIUM
ENTEROCOCCUS CASSELIFLAVUS
ENTEROCOCCUS CECORUM
ENTEROCOCCUS DURANS
ENTEROCOCCUS FAECALIS
ENTEROCOCCUS FAECALIS ATCC 29212
ENTEROCOCCUS FAECALIS ATCC 51299
ENTEROCOCCUS FAECIUM
ENTEROCOCCUS GALLINARUM
ENTEROCOCCUS HIRAE
ENTEROCOCCUS LACTIS
ENTEROCOCCUS MUNDTII
ENTEROCOCCUS RAFFINOSUS
ESCHERICHIA COLI
ESCHERICHIA COLI ATCC 25922
ESCHERICHIA COLI ATCC 35218
ESCHERICHIA COLI NCTC 13846
EUBACTERIUM LENTUM
FINEGOLDIA MAGNA
FRANCISELLA TULARENSIS
FUSARIUM (GIBBERELLA) FUJIKUROI SC 
FUSARIUM SOLANI SC 
FUSOBACTERIUM MORTIFERUM
FUSOBACTERIUM NECROPHORUM
FUSOBACTERIUM NUCLEATUM
FUSOBACTERIUM VARIUM
HAEMOPHILUS (GLAESSARELLA) PARASUIS
HAEMOPHILUS APHROPHILUS
HAEMOPHILUS INFLUENZAE
HAEMOPHILUS INFLUENZAE ATCC 49247
HAEMOPHILUS INFLUENZAE ATCC 49766
HAEMOPHILUS INFLUENZAE NCTC 8468
HAEMOPHILUS PARAINFLUENZAE
HAFNIA ALVEI
HELICOBACTER PYLORI
HISTOPHILUS SOMNI
KINGELLA KINGAE
KLEBSIELLA AEROGENES
KLEBSIELLA OXYTOCA
KLEBSIELLA OZAENAE
KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE ATCC 700603
KLEBSIELLA TERRIGENA
KLEBSIELLA VARIICOLA
KOCURIA KRISTINAE
KODAMAEA OHMERI 
LACTOBACILLUS ACIDOPHILUS
LACTOBACILLUS AMYLOVORUS
LACTOBACILLUS ANIMALIS
LACTOBACILLUS BREVIS
LACTOBACILLUS BUCHNERI
LACTOBACILLUS CASEI
LACTOBACILLUS CRISPATUS
LACTOBACILLUS CURVATUS
LACTOBACILLUS DELBRUECKII
LACTOBACILLUS FERMENTUM
LACTOBACILLUS GALLINARUM
LACTOBACILLUS GASSERI
LACTOBACILLUS HELVETICUS
LACTOBACILLUS JOHNSONII
LACTOBACILLUS LACTIS
LACTOBACILLUS PARACASEI
LACTOBACILLUS PARAPLANTARUM
LACTOBACILLUS PENTOSUS
LACTOBACILLUS PLANTARUM
LACTOBACILLUS REUTERI
LACTOBACILLUS RHAMNOSUS
LACTOBACILLUS SAKEI
LACTOBACILLUS SALIVARIUS
LACTOBACILLUS SPP
LACTOCOCCUS LACTIS
LEGIONELLA PNEUMOPHILA
LISTERIA MONOCYTOGENES
MANNHEIMIA HAEMOLYTICA
MORAXELLA CATARRHALIS
MORGANELLA MORGANII
MYCOBACTERIUM ABSCESSUS
MYCOBACTERIUM AVIUM
MYCOBACTERIUM AVIUM ATCC 700898
MYCOBACTERIUM INTRACELLULARE
MYCOBACTERIUM MARINUM
MYCOBACTERIUM PEREGRINUM ATCC 700686
MYCOBACTERIUM PEREGRINUM ATCC 700868
MYCOBACTERIUM TUBERCULOSIS 7H9
MYCOPLASMA BOVIS
MYCOPLASMA HYOPNEUMONIAE
MYCOPLASMA PNEUMONIAE
NEISSERIA GONORRHOEAE
NEISSERIA MENINGITIDIS
NOCARDIA ABOFLAVA
NOCARDIA ABSCESSUS
NOCARDIA AOBENSIS
NOCARDIA ASIATICA
NOCARDIA ASTEROIDES
NOCARDIA BRASILIENSIS
NOCARDIA CARNEA
NOCARDIA CYRIACIGEORGICA
NOCARDIA FARCINICA
NOCARDIA FLAVOROSEA
NOCARDIA IGNORATA
NOCARDIA NIIGATENSIS
NOCARDIA NOVA
NOCARDIA OTITIDISCAVIARUM
NOCARDIA PSEUDOBRASILIENSIS
NOCARDIA RHAMNOSIPHILA
NOCARDIA SHIMOFUSENSIS
NOCARDIA SIENATA
NOCARDIA SPP
NOCARDIA TAKEDENSIS
NOCARDIA TRANSVALENSIS
NOCARDIA VETERANA
NOCARIDA ASIATICA
PANTOEA AGGLOMERANS
PARABACTEROIDES DISTASONIS
PARABACTEROIDES GOLDSTEINII
PARABACTEROIDES MERDAE
PARVIMONAS MICRA
PASTEURELLA AEROGENES
PASTEURELLA CANIS
PASTEURELLA DAGMATIS
PASTEURELLA MULTOCIDA
PASTEURELLA STOMATIS
PEDIOCOCCUS ACIDILACTICI
PEDIOCOCCUS PENTOSACEUS
PEPTONIPHILUS HAREI
PEPTOSTREPTOCOCCUS ANAEROBIUS
PEPTOSTREPTOCOCCUS ASACCHORALYTICUS
PEPTOSTREPTOCOCCUS MICROS
PEPTOSTREPTOCOCCUS PREVOTII
PICHIA ANOMALA 
PLESIOMONAS SHIGELLOIDES
PORPHYROMONAS ASACCHAROLYTICA
PREVOTELLA BIVIA
PREVOTELLA BUCCAE
PREVOTELLA CORPORIS
PREVOTELLA DENTICOLA
PREVOTELLA DISIENS
PREVOTELLA HEPARINOLYTICA
PREVOTELLA INTERMEDIA
PREVOTELLA LOESCHEI
PREVOTELLA MELANINOGENICA
PREVOTELLA NANCEIENSIS
PREVOTELLA ORALIS
PREVOTELLA SPP BETA LACTAMASE NEG
PREVOTELLA SPP BETA LACTAMASE POS
